from_node,to_node,edge_key,distance_km,traffic_weight,travel_time_min,highway_type,maxspeed
305092269,12866638777,0,0.009,1.66,0.02,residential,unknown
305092269,305092023,0,0.149,1.65,0.3,residential,unknown
305092269,443224573,0,0.046,1.58,0.09,residential,unknown
305092417,305092025,0,0.101,1.0,0.18,residential,unknown
305092417,443224570,0,0.045,2.09,0.1,residential,unknown
305092417,438069091,0,0.225,2.42,0.5,residential,unknown
305092417,438068380,0,0.067,1.52,0.13,residential,unknown
305134771,5389437923,0,0.017,2.89,0.04,tertiary,unknown
305134771,3452260835,0,0.026,2.52,0.06,residential,unknown
305134812,305144298,0,0.052,1.22,0.1,residential,unknown
305134812,305144478,0,0.073,1.63,0.15,residential,unknown
305134812,595765589,0,0.15,1.69,0.3,residential,unknown
305134843,595765589,0,0.21,1.61,0.42,residential,unknown
305134843,305144294,0,0.055,1.91,0.11,residential,unknown
305134843,5389437926,0,0.057,1.17,0.11,residential,unknown
305134881,305144597,0,0.005,1.0,0.01,residential,unknown
305134881,1620346627,0,0.055,1.66,0.11,residential,unknown
305134881,5389407314,0,0.169,2.96,0.4,residential,unknown
305144294,5389407314,0,0.153,1.16,0.28,residential,unknown
305144294,305134843,0,0.055,1.04,0.1,residential,unknown
305144294,305144299,0,0.067,1.0,0.12,residential,unknown
305144298,305134812,0,0.052,1.0,0.09,residential,unknown
305144298,305144373,0,0.047,1.49,0.09,residential,unknown
305144298,303933199,0,0.169,1.72,0.34,residential,unknown
305144299,595765590,0,0.109,2.21,0.24,residential,unknown
305144299,305144294,0,0.067,2.2,0.14,residential,unknown
305144299,5389407315,0,0.116,1.94,0.24,residential,unknown
305144362,303933199,0,0.054,1.11,0.1,residential,unknown
305144362,305144596,0,0.051,1.36,0.1,residential,unknown
305144362,305144373,0,0.181,1.74,0.37,residential,unknown
305144373,305144298,0,0.047,1.46,0.09,residential,unknown
305144373,305144569,0,0.049,1.31,0.09,residential,unknown
305144373,305144362,0,0.181,2.05,0.38,residential,unknown
305144478,305134812,0,0.073,1.48,0.14,residential,unknown
305144478,305144537,0,0.148,1.69,0.3,residential,unknown
305144478,263227126,0,0.042,1.56,0.08,residential,unknown
305144537,305144478,0,0.148,1.29,0.28,residential,unknown
305144537,595765589,0,0.073,1.0,0.13,residential,unknown
305144537,5389437927,0,0.32,1.29,0.6,residential,unknown
305144566,5389407315,0,0.079,1.25,0.15,residential,unknown
305144566,595765590,0,0.167,2.29,0.36,residential,unknown
305144566,305144596,0,0.055,1.92,0.11,residential,unknown
305144569,305144373,0,0.049,1.8,0.1,residential,unknown
305144569,595765590,0,0.056,1.75,0.11,residential,unknown
305144569,305144596,0,0.193,1.67,0.39,residential,unknown
305144596,305144362,0,0.051,1.84,0.1,residential,unknown
305144596,305144597,0,0.05,1.46,0.1,residential,unknown
